0	NULL	corpus	besa.letters
0	NULL	project	KOMeT, SCRIPTORIUM
0	NULL	languages	Sahidic Coptic
0	NULL	annotation	Caroline Schroeder, Amir Zeldes
0	NULL	translation	Amir Zeldes
0	NULL	version	1.0.0
0	NULL	version_date	14 July 2014
1	NULL	annotation	Caroline T. Schroeder, Amir Zeldes
1	NULL	author	Besa
1	NULL	collection	Borgia Collection
1	NULL	Coptic_edition	Kuhn (1956), [Fragment 13] (To Aphthonia), pp. 37-39
1	NULL	corpus	Besa.letters
1	NULL	idno	IB 6 ff. 28v.-31r
1	NULL	language	Sahidic Coptic
1	NULL	license	CC-BY 3.0
1	NULL	msName	MONB.BB
1	NULL	pages_from	44
1	NULL	pages_to	49
1	NULL	project	KOMeT, SCRIPTORIUM
1	NULL	repository	Biblioteca Nazionale di Napoli
1	NULL	title	To Aphthonia
1	NULL	translation	Amir Zeldes
1	NULL	version_date	14 July 2014
1	NULL	version_n	1.1
2	NULL	annotation	Caroline T. Schroeder, Amir Zeldes
2	NULL	author	Besa
2	NULL	collection	Oriental Manuscripts
2	NULL	Coptic_edition	Kuhn (1956), [Fragment 25] (To Thieving Nuns), pp. 72-73
2	NULL	corpus	Besa.letters
2	NULL	idno	Or. 8810 ff. 37- 39r
2	NULL	language	Sahidic Coptic
2	NULL	license	CC-BY 3.0
2	NULL	msName	MONB.BA
2	NULL	pages_from	409
2	NULL	pages_to	413
2	NULL	project	KOMeT, SCRIPTORIUM
2	NULL	repository	British Library
2	NULL	title	To Thieving Nuns
2	NULL	translation	Amir Zeldes
2	NULL	version_date	14 July 2014
2	NULL	version_n	1.1
