1	abraham	add_place	right
151	abraham	cb_n	1
314	abraham	cb_n	2
479	abraham	cb_n	1
650	abraham	cb_n	2
651	abraham	hi_rend	red
652	abraham	hi_rend	superscript
653	abraham	lang	Greek
654	abraham	lang	Greek
655	abraham	lang	Greek
656	abraham	lang	Greek
657	abraham	lang	Greek
658	abraham	lang	Greek
659	abraham	lang	Greek
660	abraham	lang	Greek
661	abraham	lang	Greek
662	abraham	lang	Greek
663	abraham	lang	Greek
664	abraham	lang	Greek
665	abraham	lang	Greek
666	abraham	lang	Greek
667	abraham	lang	Hebrew
668	abraham	lang	Greek
669	abraham	lang	Hebrew
670	abraham	lang	Greek
671	abraham	lang	Greek
672	abraham	lang	Greek
673	abraham	lang	Hebrew
674	abraham	lang	Greek
675	abraham	lang	Greek
676	abraham	lang	Greek
677	abraham	lang	Greek
678	abraham	lang	Greek
679	abraham	lang	Greek
680	abraham	lang	Greek
681	abraham	lang	Hebrew
682	abraham	lang	Hebrew
683	abraham	lang	Greek
684	abraham	lang	Greek
685	abraham	lang	Greek
686	abraham	lang	Hebrew
687	abraham	lang	Greek
688	abraham	lang	Greek
689	abraham	lang	Greek
690	abraham	lb_n	1
691	abraham	lb_n	2
692	abraham	lb_n	3
693	abraham	lb_n	4
694	abraham	lb_n	5
695	abraham	lb_n	6
696	abraham	lb_n	7
697	abraham	lb_n	8
698	abraham	lb_n	9
699	abraham	lb_n	10
700	abraham	lb_n	11
701	abraham	lb_n	12
702	abraham	lb_n	13
703	abraham	lb_n	14
704	abraham	lb_n	15
705	abraham	lb_n	16
706	abraham	lb_n	17
707	abraham	lb_n	18
708	abraham	lb_n	19
709	abraham	lb_n	20
710	abraham	lb_n	21
711	abraham	lb_n	22
712	abraham	lb_n	23
713	abraham	lb_n	24
714	abraham	lb_n	25
715	abraham	lb_n	26
716	abraham	lb_n	27
717	abraham	lb_n	28
718	abraham	lb_n	29
719	abraham	lb_n	30
720	abraham	lb_n	31
721	abraham	lb_n	32
722	abraham	lb_n	33
723	abraham	lb_n	34
724	abraham	lb_n	1
725	abraham	lb_n	2
726	abraham	lb_n	3
727	abraham	lb_n	4
728	abraham	lb_n	5
729	abraham	lb_n	6
730	abraham	lb_n	7
731	abraham	lb_n	8
732	abraham	lb_n	9
733	abraham	lb_n	10
734	abraham	lb_n	11
735	abraham	lb_n	12
736	abraham	lb_n	13
737	abraham	lb_n	14
738	abraham	lb_n	15
739	abraham	lb_n	16
740	abraham	lb_n	17
741	abraham	lb_n	18
742	abraham	lb_n	19
743	abraham	lb_n	20
744	abraham	lb_n	21
745	abraham	lb_n	22
746	abraham	lb_n	23
747	abraham	lb_n	24
748	abraham	lb_n	25
749	abraham	lb_n	26
750	abraham	lb_n	27
751	abraham	lb_n	28
752	abraham	lb_n	29
753	abraham	lb_n	30
754	abraham	lb_n	31
755	abraham	lb_n	32
756	abraham	lb_n	33
757	abraham	lb_n	34
758	abraham	lb_n	1
759	abraham	lb_n	2
760	abraham	lb_n	3
761	abraham	lb_n	4
762	abraham	lb_n	5
763	abraham	lb_n	6
764	abraham	lb_n	7
765	abraham	lb_n	8
766	abraham	lb_n	9
767	abraham	lb_n	10
768	abraham	lb_n	11
769	abraham	lb_n	12
770	abraham	lb_n	13
771	abraham	lb_n	14
772	abraham	lb_n	15
773	abraham	lb_n	16
774	abraham	lb_n	17
775	abraham	lb_n	18
776	abraham	lb_n	19
777	abraham	lb_n	20
778	abraham	lb_n	21
779	abraham	lb_n	22
780	abraham	lb_n	23
781	abraham	lb_n	24
782	abraham	lb_n	25
783	abraham	lb_n	26
784	abraham	lb_n	27
785	abraham	lb_n	28
786	abraham	lb_n	29
787	abraham	lb_n	30
788	abraham	lb_n	31
789	abraham	lb_n	32
790	abraham	lb_n	33
791	abraham	lb_n	34
792	abraham	lb_n	1
793	abraham	lb_n	2
794	abraham	lb_n	3
795	abraham	lb_n	4
796	abraham	lb_n	5
797	abraham	lb_n	6
798	abraham	lb_n	7
799	abraham	lb_n	8
800	abraham	lb_n	9
801	abraham	lb_n	10
802	abraham	lb_n	11
803	abraham	lb_n	12
804	abraham	lb_n	13
805	abraham	lb_n	14
806	abraham	lb_n	15
807	abraham	lb_n	16
808	abraham	lb_n	17
809	abraham	lb_n	18
810	abraham	lb_n	19
811	abraham	lb_n	20
812	abraham	lb_n	21
813	abraham	lb_n	22
814	abraham	lb_n	23
815	abraham	lb_n	24
816	abraham	lb_n	25
817	abraham	lb_n	26
818	abraham	lb_n	27
819	abraham	lb_n	28
820	abraham	lb_n	29
821	abraham	lb_n	30
822	abraham	lb_n	31
823	abraham	lb_n	32
824	abraham	lb_n	33
825	abraham	lb_n	34
826	abraham	norm	ϭⲟⲗ
827	abraham	norm	·
828	abraham	norm	ⲛⲉ
829	abraham	norm	ⲛⲧ
830	abraham	norm	ⲁ
831	abraham	norm	ⲩ
832	abraham	norm	ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ
833	abraham	norm	ⲉⲛⲉϩ
834	abraham	norm	ⲛ
835	abraham	norm	ⲧ
836	abraham	norm	ⲙⲛⲧⲉⲣⲟ
837	abraham	norm	ⲙ
838	abraham	norm	ⲡ
839	abraham	norm	ⲛⲟⲩⲧⲉ
840	abraham	norm	·
841	abraham	norm	ⲙⲁⲗⲓⲥⲧⲁ
842	abraham	norm	ⲇⲉ
843	abraham	norm	ϫⲉ
844	abraham	norm	ϩⲉⲛ
845	abraham	norm	ⲁⲕⲁⲑⲁⲣⲧⲟⲥ
846	abraham	norm	ⲙ
847	abraham	norm	ⲙⲁⲗⲁⲕⲟⲥ
848	abraham	norm	·
849	abraham	norm	ⲙⲛ
850	abraham	norm	ⲛ
851	abraham	norm	ⲣⲉϥⲛⲕⲟⲧⲕ
852	abraham	norm	ⲙⲛ
853	abraham	norm	ⲛ
854	abraham	norm	ϩⲟⲟⲩⲧ
855	abraham	norm	·
856	abraham	norm	ⲙⲛ
857	abraham	norm	ⲟⲩⲟⲛ
858	abraham	norm	ⲛⲓⲙ
859	abraham	norm	ⲉⲧ
860	abraham	norm	ⲛⲁ
861	abraham	norm	ϫⲁϩⲙ
862	abraham	norm	ⲟⲩ
863	abraham	norm	ⲕⲁⲧⲁ
864	abraham	norm	ⲗⲁⲁⲩ
865	abraham	norm	ⲛ
866	abraham	norm	ⲥⲙⲟⲧ
867	abraham	norm	·
